location,latitude,longitude,bus,long_bus,lat_bus,capacity 
Bous,52.2109,8.050028,4740,8.144989,52.254709,0.35
Brandenburg,52.4036788,12.50167925,5699,12.941895,52.56216,1.8
Freital,50.91138302,8.046011014,4775,8.057098,50.883976,0.09
Georgsmarienhutte,52.21205056,8.041805234,4740,8.144989,52.254709,1.1
Groditz,51.40235824,13.43029797,4577,13.447266,51.299711,0.1
Hamburg,53.52488202,9.900831948,5880,9.882202,53.443899,1.1
Hennigsdorf,52.6490988,13.21018025,5701,13.212433,52.581357,1
Herbertshofen,48.51328839,10.85291729,3799,10.829773,48.62837,1.18
Kehl,48.60031059,7.823290287,3571,7.877197,48.499318,2.5
Lingen,52.46877715,7.316160272,4723,7.267456,52.464377,0.62
Peine,52.31321474,10.24801969,4888,10.299683,52.286643,1
Riesa,51.31348782,13.28090027,4577,13.447266,51.299711,0.9
Siegen,50.90917145,8.0357681,4775,8.057098,50.883976,0.15
Siegen2,50.92212057,8.026143906,4775,8.057098,50.883976,0.6
Unterwellenborn,50.65539329,11.45025623,4584,11.722412,50.582365,1.1
Volklingen,49.25340208,6.855159471,7888,6.843392109,49.34986435,0.3
Wetzlar,50.57299473,8.486861198,4901,8.484192,50.66252,0.4
Witten,51.43416923,7.330547678,4763,7.396545,51.427471,0.48
