hour,DE_BB,DE_BE,DE_BW,DE_BY,DE_HB,DE_HE,DE_HH,DE_MV,DE_NI,DE_NRW,DE_RP,DE_SH,DE_SL,DE_SN,DE_ST,DE_TH,DE_Total
0,1027.99,1613.56,8120.6,8783.07,167.19,2959.66,1391.08,621.79,4425.75,9440.46,3252.13,1110.2,690.73,2017.96,950.46,1006.76,47579.39
1,957.61,1466.02,8097.98,8657.06,160.14,2830.78,1314.26,567,4244.98,9044.56,3131.63,1033.78,674.82,1918.61,901.54,960.36,45961.13
2,911.22,1366.61,8022.41,8510.32,154.69,2727.38,1252.86,532.12,4109.42,8742.52,3036.49,981.82,660.9,1849.99,868.38,927.98,44655.11
3,882.57,1311.28,7881.58,8335.17,150.53,2649.95,1211.21,512.71,4003.97,8511.14,2959.41,949.67,646.72,1800.77,845.11,904.01,43555.8
4,870.31,1290.27,7825.29,8268.21,148.92,2621.94,1197.46,504.38,3960.92,8419.52,2929.05,936.64,640.86,1779.44,834.85,893.58,43121.64
5,866.7,1293.6,7752.37,8206.43,148.24,2614.47,1198.86,503.38,3937.42,8376.87,2912.85,934.3,635.74,1768.05,829.34,887.52,42866.14
6,873.59,1325.7,7669.4,8160.45,148.77,2633.69,1219.23,511.03,3940.18,8398.38,2915.83,944.86,632.16,1769.31,829.84,887.08,42859.5
7,914.94,1397.5,7834.49,8363.3,153.96,2723.65,1263.82,539.61,4079.39,8693.95,3012.95,988.54,650.43,1839.52,863.79,921.24,44241.08
8,994.28,1549.06,7624.4,8249.15,158.55,2787.82,1300.53,605.92,4217.47,8969.7,3083.96,1066.96,654.88,1940.32,916.33,967.28,45086.61
9,1117.7,1803.15,7431.02,8231.61,168.05,2949.24,1399.4,706.75,4473.21,9514.5,3237.54,1195.86,669.26,2101.51,998.03,1041.25,47038.08
10,1229.87,2036.67,7457.56,8420.65,179.11,3149.76,1518.46,794.23,4758.38,10136.75,3426.38,1317.08,694.01,2259.56,1076.06,1115.09,49569.62
11,1330.2,2230.67,7622.38,8707.9,189.93,3340.74,1623.03,869.14,5043.79,10749.88,3619.1,1424.15,724.55,2412.19,1150.83,1187.68,52226.16
