ID,Name,Node,Latitude,Longitude,Fuel,Capacity,Efficiency
BNA0005,Ahrensfelde,DE_BE,52.59,13.56,Natural gas,37.5,0.354
BNA0006,Ahrensfelde,DE_BE,52.59,13.56,Natural gas,37.5,0.354
BNA0007,Ahrensfelde,DE_BE,52.59,13.56,Natural gas,37.5,0.354
BNA0008,Ahrensfelde,DE_BE,52.59,13.56,Natural gas,37.5,0.354
BNA0012b,Werkskraftwerk Sappi Alfeld,DE_NI,51.99,9.82,Natural gas,20,0.327
BNA0015,Heizkraftwerk Altbach/Deizisau,DE_BW,48.72,9.37,Natural gas,65,0.372
BNA0016,Heizkraftwerk Altbach/Deizisau,DE_BW,48.72,9.37,Natural gas,50,0.305
BNA0017,Heizkraftwerk Altbach/Deizisau,DE_BW,48.72,9.37,Natural gas,57,0.31
BNA0018,Heizkraftwerk Altbach/Deizisau,DE_BW,48.72,9.37,Natural gas,81,0.315
BNA0019,Heizkraftwerk Altbach/Deizisau,DE_BW,48.72,9.37,Hard coal,336,0.44
BNA0020,Heizkraftwerk Altbach/Deizisau,DE_BW,48.72,9.37,Hard coal,433,0.455
BNA0025,Kesselhaus Zuckerfabrik,DE_MV,53.86,13.71,Natural gas,15.1,0.377
BNA0033,Gasturbine,DE_BY,48.4,10.94,Natural gas,28.8,0.39
BNA0051,KWK-Anlage Barby,DE_ST,51.98,11.88,Natural gas,18,0.377
BNA0059b,GuD Baunatal,DE_HE,51.25,9.44,Natural gas,78,0.599
BNA0067,Bergkamen,DE_NRW,51.64,7.62,Hard coal,717,0.378
BNA0070,HKW Adlershof,DE_BE,52.43,13.56,Natural gas,8,0.406
BNA0071,HKW Adlershof,DE_BE,52.43,13.56,Natural gas,5,0.37
BNA0072,HKW Adlershof,DE_BE,52.43,13.56,Natural gas,7,0.385
BNA0073,Mitte,DE_BE,52.51,13.42,Natural gas,444,0.522
BNA0074,Charlottenburg,DE_BE,52.52,13.31,Natural gas,211,0.38
BNA0075,Lichterfelde,DE_BE,52.43,13.31,Natural gas,144,0.383
BNA0076,Lichterfelde,DE_BE,52.43,13.31,Natural gas,144,0.383
