time,DE_BB,DE_BE,DE_BW,DE_BY,DE_HB,DE_HE,DE_HH,DE_MV,DE_NI,DE_NRW,DE_RP,DE_SH,DE_SL,DE_SN,DE_ST,DE_TH,DE_Total
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5.1425,0.0167,41.996775,111.1467857,0,4.289133333,0,0,0.55245,0.249,6.2842,0,0.6704,9.5852,8.9112,7.3346,196.178944
8,119.4875,3.9913,493.093125,851.9635714,0.1738,126.0816667,1.17,15.9444,129.365375,196.212,279.6469,12.019,30.587,171.3998667,171.2088,133.0875,2735.431805
9,263.175,10.1035,1045.089075,1688.719286,0.6237,285.0152667,4.0425,53.3952,439.7502,669.727,605.3779333,43.2684,65.1964,366.1958667,410.484,249.613,6199.776327
10,454.96,18.203,1359.863625,2312.241429,0.8701,422.079,9.93,90.228,750.319175,838.632,822.0217,88.5164,102.3198,435.8689333,623.9736,298.7075,8628.734262
11,612.26,27.4548,1404.27555,2486.97,0.7403,455.4965333,8.5275,132.7464,635.409575,820.538,894.5317,98.4144,146.4824,404.1759333,702.0888,343.8981,9174.009992
12,715.11,41.0319,1200.5979,2322.110357,1.1891,375.9826,8.9175,103.0824,374.837325,651.052,861.1771,114.3926,140.8678,411.236,552.1152,344.9628,8218.662582
13,399.905,22.9291,852.950475,1634.844643,0.7777,224.1661333,9.135,84.666,215.0872,399.811,635.9127,84.84,112.3758,301.1608,232.4496,190.8179,5401.829051
14,68.97,2.5551,376.2267,571.9125,0.143,73.15093333,1.3125,14.0904,63.3476,131.804,239.3635667,10.1808,43.2408,66.0142,35.8344,29.2201,1727.3666
15,0,0,11.404875,2.750357143,0,0.1414,0,0,0,0.83,3.544933333,0,0.7961,0,0,0,19.46766548
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
