time,DE_BB,DE_BE,DE_BW,DE_BY,DE_HB,DE_HE,DE_HH,DE_MV,DE_NI,DE_NRW,DE_RP,DE_SH,DE_SL,DE_SN,DE_ST,DE_TH
0,0.1766,0.1633,0.008925,0.043014286,0.1873,0.0164,0.1607,0.2918,0.1977,0.0757,0.011266667,0.5186,0.001,0.118833333,0.17,0.0779
1,0.1869,0.1824,0.0089,0.039757143,0.2055,0.0158,0.1649,0.3004,0.2042,0.07968,0.011433333,0.5245,0.0016,0.130733333,0.1852,0.0978
2,0.1939,0.1807,0.0094,0.039585714,0.2361,0.014533333,0.1742,0.3086,0.215375,0.08746,0.009666667,0.5299,0.0015,0.139533333,0.1823,0.103
3,0.1903,0.1648,0.010775,0.040171429,0.2452,0.012866667,0.1905,0.3144,0.2282,0.0943,0.006633333,0.5228,0.0008,0.1376,0.1681,0.0968
4,0.192,0.154,0.01015,0.036614286,0.2628,0.011833333,0.1946,0.3353,0.24395,0.10602,0.004,0.5613,0.0002,0.133466667,0.1623,0.0915
5,0.1835,0.1253,0.005275,0.027857143,0.2779,0.013,0.2011,0.3404,0.26835,0.11862,0.0046,0.5739,0,0.124733333,0.1409,0.0886
6,0.178,0.1055,0.00415,0.019914286,0.2864,0.019433333,0.2253,0.3762,0.2875,0.12222,0.0105,0.6148,0,0.1325,0.1418,0.1042
7,0.1819,0.1116,0.00615,0.016228571,0.3069,0.034133333,0.2361,0.4001,0.29705,0.12624,0.023366667,0.6197,0,0.1401,0.164,0.1513
8,0.1885,0.1278,0.007775,0.015114286,0.3621,0.042733333,0.25,0.4041,0.322475,0.14476,0.040633333,0.6177,0.0027,0.141633333,0.1829,0.1475
9,0.2162,0.1531,0.0023,0.011185714,0.4329,0.028933333,0.3326,0.4098,0.369625,0.16128,0.0249,0.6496,0.0028,0.129166667,0.1752,0.1062
10,0.2193,0.1631,0.00045,0.009928571,0.3332,0.025233333,0.3407,0.4103,0.328575,0.15776,0.012633333,0.657,0.0012,0.1278,0.1427,0.0976
11,0.2069,0.1762,0.000175,0.010057143,0.3338,0.047633333,0.2576,0.3968,0.3139,0.18056,0.026266667,0.6531,0.0015,0.140933333,0.1314,0.1356
12,0.1968,0.1406,0.001375,0.014828571,0.3468,0.0786,0.2721,0.3921,0.333475,0.20048,0.0468,0.6678,0.0098,0.158866667,0.142,0.1578
13,0.2451,0.1678,0.008325,0.0205,0.3554,0.101,0.2959,0.4278,0.360525,0.22128,0.0612,0.6747,0.0246,0.195933333,0.2202,0.1891
14,0.329,0.2423,0.014,0.024228571,0.405,0.126333333,0.3391,0.4527,0.4047,0.27138,0.0806,0.6873,0.0411,0.286,0.3083,0.2543
15,0.3696,0.2928,0.0389,0.036057143,0.4607,0.151766667,0.3729,0.4475,0.450475,0.34486,0.123933333,0.7017,0.0802,0.332766667,0.3398,0.2835
16,0.358,0.2904,0.059775,0.0607,0.4996,0.160833333,0.4015,0.4503,0.482675,0.38254,0.156833333,0.73,0.0953,0.315966667,0.34,0.2741
17,0.3554,0.289,0.049675,0.072114286,0.5664,0.177066667,0.4502,0.4699,0.52005,0.39948,0.174933333,0.768,0.1058,0.312466667,0.3435,0.2932
18,0.3659,0.2915,0.04105,0.0695,0.6585,0.189333333,0.5083,0.4978,0.569125,0.43152,0.1771,0.8066,0.111,0.323133333,0.3636,0.3293
19,0.3871,0.306,0.04435,0.072314286,0.7352,0.2088,0.5824,0.54,0.62415,0.46942,0.1813,0.8476,0.1025,0.346533333,0.3957,0.3717
20,0.4151,0.3287,0.05485,0.078442857,0.7876,0.233566667,0.6715,0.5934,0.674,0.50176,0.1973,0.8822,0.1121,0.367433333,0.4336,0.4173
21,0.4381,0.3414,0.07655,0.089285714,0.8381,0.251733333,0.7312,0.6355,0.7151,0.52754,0.220366667,0.9004,0.1344,0.385766667,0.4614,0.4699
22,0.4667,0.3689,0.101325,0.116514286,0.8734,0.269366667,0.771,0.666,0.743425,0.56124,0.267633333,0.9103,0.1582,0.425,0.5008,0.5002
23,0.5033,0.4062,0.121275,0.140328571,0.8852,0.282833333,0.7818,0.6761,0.7755,0.59302,0.284833333,0.9174,0.1825,0.468733333,0.5408,0.5273
24,0.5369,0.439,0.14115,0.153828571,0.898,0.3029,0.8053,0.6901,0.8011,0.62734,0.314966667,0.9227,0.2053,0.509866667,0.5841,0.5514
25,0.5705,0.4612,0.162125,0.169085714,0.906,0.3415,0.829,0.7334,0.825575,0.65818,0.361666667,0.9278,0.2405,0.550366667,0.6423,0.5764
26,0.6179,0.5027,0.18745,0.188685714,0.9128,0.376333333,0.8519,0.812,0.84015,0.67774,0.399366667,0.9354,0.2952,0.590966667,0.6993,0.6179
27,0.6825,0.6855,0.221025,0.226171429,0.917,0.416933333,0.8591,0.8263,0.8777,0.69664,0.426433333,0.9433,0.3262,0.615133333,0.7445,0.6476
28,0.7189,0.6421,0.258425,0.273185714,0.9168,0.499033333,0.8564,0.8478,0.8882,0.72822,0.466,0.9475,0.371,0.659066667,0.7805,0.7
29,0.7956,0.6723,0.30475,0.308842857,0.91,0.5131,0.8543,0.8952,0.889425,0.7121,0.5156,0.9447,0.4439,0.7239,0.8314,0.7511
30,0.8024,0.6339,0.3432,0.3511,0.8837,0.542866667,0.8533,0.9038,0.880675,0.69808,0.556066667,0.95,0.4927,0.7518,0.8392,0.7645
31,0.8188,0.6942,0.369375,0.406414286,0.8422,0.547033333,0.8244,0.9136,0.856725,0.67414,0.5596,0.9535,0.5048,0.761233333,0.8267,0.7561
32,0.833,0.7097,0.369825,0.426814286,0.7906,0.536733333,0.798,0.9262,0.819525,0.65514,0.539033333,0.9565,0.4991,0.7673,0.8092,0.795
33,0.8469,0.7488,0.36965,0.4516,0.7937,0.498633333,0.8365,0.9201,0.797025,0.55412,0.524066667,0.9567,0.5066,0.772766667,0.8145,0.7733
34,0.8382,0.7723,0.386675,0.499528571,0.832,0.435766667,0.8731,0.9237,0.799625,0.45978,0.523333333,0.9578,0.5018,0.7548,0.7657,0.6829
35,0.8284,0.7499,0.405375,0.5434,0.851,0.366233333,0.877,0.9375,0.8185,0.43956,0.4608,0.9572,0.4506,0.726433333,0.7648,0.6329
36,0.8143,0.7664,0.391275,0.566457143,0.8485,0.304566667,0.8756,0.9375,0.819325,0.44444,0.372833333,0.9547,0.3367,0.713133333,0.7553,0.585
37,0.8038,0.7549,0.369675,0.563785714,0.8601,0.288133333,0.8633,0.9351,0.8188,0.47508,0.303433333,0.9528,0.2435,0.652133333,0.7466,0.5681
38,0.8018,0.7508,0.3368,0.531942857,0.8828,0.271133333,0.8572,0.9288,0.811625,0.49726,0.257166667,0.9542,0.1755,0.630166667,0.7363,0.5512
39,0.8169,0.7429,0.317225,0.519771429,0.8748,0.305733333,0.839,0.9249,0.8058,0.53362,0.266733333,0.9516,0.1934,0.676033333,0.7344,0.548
40,0.8229,0.7436,0.329375,0.528028571,0.8672,0.315933333,0.821,0.9252,0.8114,0.52704,0.255866667,0.9508,0.1971,0.697466667,0.7446,0.577
41,0.8368,0.7623,0.2932,0.495857143,0.8618,0.3165,0.8209,0.9312,0.819825,0.52532,0.243333333,0.9466,0.2106,0.702666667,0.7717,0.5876
