time,DE_BB,DE_BE,DE_BW,DE_BY,DE_HB,DE_HE,DE_HH,DE_MV,DE_NI,DE_NRW,DE_RP,DE_SH,DE_SL,DE_SN,DE_ST,DE_TH,DE_Total
0,1113.2864,25.6381,7.987875,74.80184286,8.0539,14.7436,14.3023,746.1326,2006.4573,291.0665,38.38553333,3665.9834,0.297,138.0843333,780.3,101.0363,9026.556985
1,1178.2176,28.6368,7.9655,69.13767143,8.8365,14.2042,14.6761,768.1228,2072.4258,306.3696,38.95336667,3707.6905,0.4752,151.9121333,850.068,126.8466,9344.538371
2,1222.3456,28.3699,8.413,68.83955714,10.1523,13.06546667,15.5038,789.0902,2185.840875,336.2837,32.93433333,3745.8631,0.4455,162.1377333,836.757,133.591,9589.633065
3,1199.6512,25.8736,9.643625,69.85811429,10.5436,11.56713333,16.9545,803.9208,2316.0018,362.5835,22.59976667,3695.6732,0.2376,159.8912,771.579,125.5496,9602.128239
4,1210.368,24.178,9.08425,63.67224286,11.3004,10.63816667,17.3194,857.3621,2475.84855,407.6469,13.628,3967.8297,0.0594,155.0882667,744.957,118.6755,10087.65588
5,1156.784,19.6721,4.721125,48.44357143,11.9497,11.687,17.8979,870.4028,2723.48415,456.0939,15.6722,4056.8991,0,144.9401333,646.731,114.9142,10300.29288
6,1122.112,16.5635,3.71425,34.63094286,12.3152,17.47056667,20.0517,961.9434,2917.8375,469.9359,35.7735,4346.0212,0,153.965,650.862,135.1474,10898.34406
7,1146.6976,17.5212,5.50425,28.22148571,13.1967,30.68586667,21.0129,1023.0557,3014.76045,485.3928,79.61023333,4380.6593,0,162.7962,752.76,196.2361,11358.11079
8,1188.304,20.0646,6.958625,26.28374286,15.5703,38.41726667,22.25,1033.2837,3272.798775,556.6022,138.4377667,4366.5213,0.8019,164.5779333,839.511,191.3075,11881.69061
9,1362.9248,24.0367,2.0585,19.45195714,18.6147,26.01106667,29.6014,1047.8586,3751.324125,620.1216,84.8343,4592.0224,0.8316,150.0916667,804.168,137.7414,12671.69282
10,1382.4672,25.6067,0.40275,17.26578571,14.3276,22.68476667,30.3223,1049.1371,3334.707675,606.5872,43.04176667,4644.333,0.3564,148.5036,654.993,126.5872,12101.32404
11,1304.2976,27.6634,0.156625,17.48937143,14.3534,42.82236667,22.9264,1014.6176,3185.7711,694.2532,89.49053333,4616.7639,0.4455,163.7645333,603.126,175.8732,11973.81473
12,1240.6272,22.0742,1.230625,25.78688571,14.9124,70.6614,24.2169,1002.5997,3384.437775,770.8456,159.4476,4720.6782,2.9106,184.6030667,651.78,204.6666,12481.47875
13,1545.1104,26.3446,7.450875,35.6495,15.2822,90.799,26.3351,1093.8846,3658.968225,850.8216,208.5084,4769.4543,7.3062,227.6745333,1010.718,245.2627,13819.57023
14,2074.016,38.0411,12.53,42.13348571,17.415,113.5736667,30.1799,1157.5539,4107.3003,1043.4561,274.6042,4858.5237,12.2067,332.332,1415.097,329.8271,15858.79015
15,2329.9584,45.9696,34.8155,62.70337143,19.8101,136.4382333,33.1881,1144.2575,4571.870775,1325.9867,422.2408667,4960.3173,23.8194,386.6748667,1559.682,367.6995,17425.43221
16,2256.832,45.5928,53.498625,105.5573,21.4828,144.5891667,35.7335,1151.4171,4898.668575,1470.8663,534.3311667,5160.37,28.3041,367.1532667,1560.6,355.5077,18190.5044
17,2240.4416,45.373,44.459125,125.4067429,24.3552,159.1829333,40.0678,1201.5343,5277.98745,1536.0006,595.9978667,5428.992,31.4226,363.0862667,1576.665,380.2804,19071.25288
18,2306.6336,45.7655,36.73975,120.8605,28.3155,170.2106667,45.2387,1272.8746,5776.049625,1659.1944,603.3797,5701.8554,32.967,375.4809333,1668.924,427.1021,20271.59197
19,2440.2784,48.042,39.69325,125.7545429,31.6136,187.7112,51.8336,1380.78,6334.49835,1804.9199,617.6891,5991.6844,30.4425,402.6717333,1816.263,482.0949,21785.97048
20,2616.7904,51.6059,49.09075,136.4121286,33.8668,209.9764333,59.7635,1517.3238,6840.426,1929.2672,672.2011,6236.2718,33.2937,426.9575333,1990.224,541.2381,23344.70915
21,2761.7824,53.5998,68.51225,155.2678571,36.0383,226.3082667,65.0768,1624.9735,7257.5499,2028.3913,750.7892333,6364.9276,39.9168,448.2608667,2117.826,609.4603,24608.68117
22,2942.0768,57.9173,90.685875,202.6183429,37.5562,242.1606333,68.619,1702.962,7545.020325,2157.9678,911.8267667,6434.9107,46.9854,493.85,2298.672,648.7594,25882.58854
23,3172.8032,63.7734,108.541125,244.0313857,38.0636,254.2671667,69.5802,1728.7877,7870.5495,2280.1619,970.4271667,6485.1006,54.2025,544.6681333,2482.272,683.9081,27051.13768
24,3384.6176,68.923,126.32925,267.5078857,38.614,272.3071,71.6717,1764.5857,8130.3639,2412.1223,1073.091433,6522.5663,60.9741,592.4650667,2681.019,715.1658,28182.32414
25,3596.432,72.4084,145.101875,294.0400571,38.958,307.0085,73.781,1875.3038,8378.760675,2530.7021,1232.198333,6558.6182,71.4285,639.5260667,2948.157,747.5908,29510.01531
26,3895.2416,78.9239,167.76775,328.1244571,39.2504,338.3236667,75.8191,2076.284,8526.68235,2605.9103,1360.642233,6612.3426,87.6744,686.7032667,3209.787,801.4163,30890.89332
27,4302.48,107.6235,197.817375,393.3121143,39.431,374.8230667,76.4599,2112.8491,8907.7773,2678.5808,1452.858367,6668.1877,96.8814,714.7849333,3417.255,839.9372,32381.05876
28,4531.9456,100.8097,231.290375,475.0699571,39.4224,448.6309667,76.2196,2167.8246,9014.3418,2800.0059,1587.662,6697.8775,110.187,765.8354667,3582.495,907.9,33537.51787
29,5015.4624,105.5511,272.75125,537.0777286,39.13,461.2769,76.0327,2289.0264,9026.774325,2738.0245,1756.6492,6678.0843,131.8383,841.1718,3816.126,974.1767,34759.1536
30,5058.3296,99.5223,307.164,610.5629,37.9991,488.0371333,75.9437,2311.0166,8937.970575,2684.1176,1894.519133,6715.55,146.3319,873.5916,3851.928,991.5565,35084.14064
31,5161.7152,108.9894,330.590625,706.7544429,36.2146,491.7829667,73.3716,2336.0752,8694.902025,2592.0683,1906.5572,6740.2915,149.9256,884.5531333,3794.553,980.6617,34989.00649
32,5251.232,111.4229,330.993375,742.2300429,33.9958,482.5232667,71.022,2368.2934,8317.359225,2519.0133,1836.486567,6761.4985,148.2327,891.6026,3714.228,1031.115,34611.24868
33,5338.8576,117.5616,330.83675,785.3324,34.1291,448.2713667,74.4485,2352.6957,8089.006725,2130.5914,1785.495133,6762.9123,150.4602,897.9548667,3738.555,1002.9701,34040.07874
34,5284.0128,121.2511,346.074125,868.6801857,35.776,391.7542333,77.7059,2361.9009,8115.394125,1767.8541,1782.996667,6770.6882,149.0346,877.0776,3514.563,885.7213,33350.48484
35,5222.2336,117.7343,362.810625,944.9726,36.593,329.2437667,78.053,2397.1875,8306.9565,1690.1082,1569.9456,6766.4468,133.8282,844.1155333,3510.432,820.8713,33131.53253
36,5133.3472,120.3248,350.191125,985.0689714,36.4855,273.8054333,77.9284,2397.1875,8315.329425,1708.8718,1270.243167,6748.7743,99.9999,828.6609333,3466.827,758.745,32571.79045
37,5067.1552,118.5193,330.859125,980.4233571,36.9843,259.0318667,76.8337,2391.0507,8310.0012,1826.6826,1033.797367,6735.3432,72.3195,757.7789333,3426.894,736.8257,32160.50005
38,5054.5472,117.8756,301.436,925.0486286,37.9604,243.7488667,76.2908,2374.9416,8237.182125,1911.9647,876.1668333,6745.2398,52.1235,732.2536667,3379.617,714.9064,31781.30312
39,5149.7376,116.6353,283.916375,903.8825143,37.6164,274.8542667,74.671,2364.9693,8178.0642,2051.7689,908.7604667,6726.8604,57.4398,785.5507333,3370.896,710.756,31996.37926
40,5187.5616,116.7452,294.790625,918.2416857,37.2896,284.0240667,73.069,2365.7364,8234.8986,2026.4688,871.7377333,6721.2052,58.5387,810.4562667,3417.714,748.369,32166.84648
41,5275.1872,119.6811,262.414,862.2955714,37.0574,284.5335,73.0601,2381.0784,8320.403925,2019.8554,829.0366667,6691.5154,62.5482,816.4986667,3542.103,762.1172,32339.38573
42,5345.1616,122.3501,263.241875,849.3524429,36.4855,270.1195333,71.9387,2383.124,8223.988425,1945.4162,732.0507333,6631.4289,53.8461,834.0061333,3617.379,754.0758,32133.96504
43,5363.4432,123.4648,225.159625,860.0348714,35.9953,246.6856,70.1943,2360.6224,8148.885825,1837.7562,651.9862333,6598.9115,48.5298,849.8480667,3639.87,765.8785,31827.26622
44,5363.4432,125.2232,178.3735,807.3431714,36.1415,234.8487667,70.5058,2335.5638,8108.289825,1732.4801,592.5908667,6627.1875,38.907,869.0598,3651.345,768.9913,31540.29433
45,5352.7264,124.7836,178.932875,753.2851143,36.4683,271.2582667,72.8198,2333.7739,8186.69085,1736.5558,569.4232667,6663.2394,36.7389,892.7646,3687.606,811.7923,31708.85937
46,5390.5504,124.815,177.34425,762.2533857,36.3135,277.0118667,73.9234,2359.5996,8199.88455,1734.9409,524.9051333,6668.1877,33.561,885.7538667,3725.244,833.7116,31808.00015
47,5456.7424,127.5468,162.84525,803.2192571,36.0039,268.2016667,73.5229,2369.0605,8116.916475,1495.6281,406.3415333,6681.6188,28.215,902.7578,3798.684,856.1497,31583.45408
48,5508.4352,129.2424,127.31375,750.1300714,36.0039,230.3837333,74.7956,2378.2657,7901.757675,1178.7232,346.3783333,6739.5846,23.7303,915.9658667,3756.915,839.4184,30937.04373
49,5532.3904,128.8185,92.296875,644.4485571,34.1205,180.6690333,73.1313,2399.4888,7386.188475,894.1932,316.1696,6720.4983,19.3644,915.7334667,3633.444,764.4518,29735.40721
50,5488.2624,129.0226,77.753125,546.9155,31.1277,118.668,67.9159,2385.9367,6544.328925,760.0027,275.0584667,6575.5838,15.6519,871.2676,3325.914,630.342,27843.75132
51,5232.9504,121.7221,66.297125,452.8107571,28.1349,101.0476,62.4602,2340.6778,5683.44,782.3037,266.6545333,6424.3072,15.444,731.6726667,2824.686,476.9069,25611.51588
52,4656.1344,105.5982,61.79975,357.7371429,25.4431,101.0775667,57.9123,2277.0085,5023.755,836.9796,307.0842667,6393.2036,18.4734,538.5482667,1995.273,384.3011,23140.32919
53,3895.872,72.0159,66.63275,319.976,25.8387,104.1641333,56.7553,2207.4581,5263.017675,911.1881,352.6245,6440.5659,23.9679,496.174,1964.979,409.9817,22611.21166
54,3736.3808,62.4703,79.811625,301.7910286,26.4407,112.6147333,59.0604,2195.9516,5533.995975,1022.0779,360.6877333,6491.4627,25.7202,532.4671333,2189.889,425.8051,23156.62693
55,3876.3296,67.196,91.178125,278.9107571,26.9954,126.3095,61.5346,2206.1796,5749.91595,1159.9596,358.1892667,6528.2215,26.8488,565.0806,2293.623,440.3315,23856.8038
56,4017.5392,69.3469,80.68425,248.6024714,26.8707,157.5347667,62.834,2235.0737,5828.5707,1205.2537,382.6061,6531.756,23.4927,566.7461333,2325.294,475.0911,24237.29642
57,4100.1216,70.8384,67.97525,226.5668571,26.3848,143.0908333,61.6948,2274.7072,5695.11135,1004.0833,323.665,6494.2903,18.0873,567.1722,2273.427,478.8524,23826.06859
58,4272.8512,70.6186,67.147375,223.3124429,26.5224,122.8933,62.5492,2298.4873,5653.754175,887.426,237.2407667,6452.5832,16.6617,573.1371333,2214.216,473.405,23652.80579
59,4420.9952,70.5715,83.99575,229.1505143,26.4364,94.6647,64.0177,2278.287,5913.31485,794.9153,161.6053667,6297.0652,15.5628,568.2567333,2201.364,434.6247,23654.82771
60,4416.5824,70.6186,119.818125,217.8221714,27.7178,79.26183333,62.5581,2240.9548,5662.380825,715.17,133.4408333,5880.7011,15.1767,614.7367333,2028.78,385.209,22670.92902
61,4304.3712,69.0329,170.967375,208.6303143,26.9008,72.7291,59.0515,2176.5184,5166.094725,532.4556,153.5421333,5322.957,30.3237,561.9432,1780.92,337.8685,20974.30645
62,4116.512,66.6308,218.201,218.8407286,25.4517,58.64476667,54.0052,2062.9876,4810.626,366.6592,141.6176333,4920.7309,32.1651,482.7722667,1618.893,292.0844,19486.8223
63,3922.3488,62.8471,285.99725,235.2867,23.9596,48.12646667,46.6538,1917.4943,4629.9738,273.2257,169.3279,4579.2982,37.0656,444.8910667,1726.758,327.8816,18731.13588
64,3715.5776,56.4572,354.710875,264.7006429,21.3925,38.80683333,43.6011,1747.1981,4279.32585,220.9337,369.8866333,4540.4187,124.5024,440.6304,1781.379,276.3907,18275.91223
65,3566.8032,63.1297,450.341625,321.0194,19.9219,19.3285,38.4747,1589.1755,4201.432275,181.2533,750.5621,4572.9361,210.276,392.2912,1780.92,257.5842,18415.4497
66,3263.5808,70.6657,566.736375,351.9984429,20.8937,11.71696667,33.0279,1426.0389,4309.519125,217.7808,860.6082,4705.1264,229.6404,394.5764667,1871.802,224.8998,18558.61198
67,3017.7248,64.1502,572.195875,419.3971143,21.4828,21.1265,32.8766,1408.1399,4514.2752,337.9755,861.4031667,4710.7816,186.6348,393.4919333,1761.642,204.2775,18527.57549
68,2973.5968,62.9727,546.9345,488.5844714,23.1727,65.23743333,34.9859,1404.0487,4814.6856,582.6713,710.8137667,4835.9029,104.7222,388.5728,1744.659,258.3624,19039.92317
69,2865.168,62.9256,496.6355,522.6440286,23.2759,128.7368,35.6623,1453.1431,4997.621325,829.9048,509.2329333,4902.3515,42.3225,410.6508,1897.506,308.0375,19485.81859
70,3067.5264,63.5693,371.447375,569.8951429,24.0499,176.1740333,40.5662,1541.3596,4981.890375,937.8724,517.864,4977.2829,28.9278,500.6670667,2354.67,508.1646,20661.92709
71,3090.8512,52.2653,243.8875,594.0920857,24.6605,216.7489,43.0137,1673.0451,5084.14155,1081.1371,600.4269667,4924.9723,28.3635,605.9055333,2446.47,558.6179,21268.59914
72,3310.8608,52.438,157.721375,572.5533286,24.7981,262.7177667,42.3284,1751.0336,5580.681375,1199.9476,646.6486,4774.4026,26.3439,601.3737333,2461.617,568.7345,22034.20068
73,3569.3248,70.2104,107.6685,581.6209714,24.7551,255.4958,36.045,1816.2371,5692.06665,1257.8533,645.5129333,4466.9011,27.5913,570.0384667,2601.153,667.955,22390.42942
74,3980.3456,86.2244,91.625625,670.7819857,23.736,251.6600667,30.26,1780.6948,5530.69755,1207.4838,542.7351,4045.5887,22.3938,664.664,2818.26,725.9309,22473.08233
75,4020.6912,84.7957,80.527625,654.3111714,22.9792,227.9564333,26.5309,1734.4131,5361.970425,1157.8833,464.2605333,3757.1735,17.3151,696.3478667,2703.051,721.0023,21731.20935
76,3951.9776,86.7425,71.37625,642.8834571,22.0676,207.2195,23.1845,1679.4376,5147.5728,1086.597,477.8885333,3902.7949,17.0478,709.401,2616.3,688.8367,21331.32774
77,3714.3168,80.1642,68.51225,611.2585,20.6486,198.3194,21.4935,1619.0924,4971.741375,1176.9545,474.1408333,4057.606,17.4933,687.9814667,2479.059,632.4172,20831.19933
78,3505.6544,72.0159,68.69125,611.1342857,21.3624,177.9121,22.5615,1617.3025,4869.4902,1143.8875,483.9075667,4247.0552,21.7998,654.5158667,2345.949,625.0243,20488.26377
79,3337.3376,62.7058,74.1955,603.1348857,21.8569,193.1951,30.6872,1651.5663,4834.47615,1116.3573,517.7504333,4623.8329,27.7101,632.0118,2263.329,636.827,20626.97397
80,3199.28,54.8872,77.618875,601.6194714,21.8999,199.1884333,34.8257,1679.949,4656.614925,1082.0599,536.8296333,4664.1262,30.3534,621.0115333,2163.267,597.2685,20220.79967
81,3227.0176,59.3146,82.138625,591.9556,21.3409,182.4370667,36.2675,1659.7487,4251.92355,879.8898,515.7062333,4469.7287,26.5518,613.8071333,2123.793,564.195,19305.81581
82,3576.2592,72.2985,105.453375,629.8409571,20.3476,173.8965667,34.6032,1707.5646,4183.4178,779.2277,452.6767333,4326.9349,25.9281,613.6134667,2228.904,501.0311,19431.9978
83,3797.5296,73.1777,121.9885,654.6589714,17.0151,201.7356,34.2561,1742.8512,4135.7175,740.4701,460.9671,4128.296,26.6409,612.5676667,2456.568,507.6458,19712.08584
84,3832.2016,72.5026,129.1485,700.2207714,19.0877,211.7145,36.1696,1711.9115,4453.127475,741.8543,442.0014667,4097.8993,26.7894,645.6072,2554.335,544.8697,20219.44061
85,3771.6832,75.4856,125.16575,738.5036143,19.823,205.6912,36.0984,1654.1233,4439.933775,789.3016,395.4391333,4057.606,21.8592,673.6501333,2585.547,554.0784,20143.98931
86,3680.2752,73.0364,119.370625,751.5709571,19.1436,200.5968667,34.0514,1610.91,4290.9972,854.9742,403.8430667,4006.0023,23.6115,701.4606667,2565.81,558.4882,19894.14218
87,3549.7824,70.9954,136.151875,781.2830143,15.6348,202.9642333,29.0585,1511.187,3909.141075,929.1827,520.4760333,3784.0357,32.8185,714.63,2564.892,551.225,19303.45823
88,3241.5168,64.2444,154.544125,789.9531714,15.2048,176.4137667,24.7509,1321.969,3607.715775,898.192,599.2913,3560.6553,34.3332,671.7909333,2488.239,537.3471,18186.16157
89,2920.0128,50.5226,162.017375,798.6978571,14.8479,151.3616333,24.5818,1209.7167,3350.1849,814.2941,563.4042333,3465.2238,27.9477,652.3080667,2264.706,516.5951,16986.42257
90,2635.7024,42.9238,152.575125,813.3054571,14.018,122.6535667,22.3746,1101.8113,3081.74385,692.9459,496.6270333,3385.3441,21.5325,654.8257333,2060.91,470.9407,15770.23407
91,2274.4832,35.6233,137.270625,794.5242571,13.0634,109.1985333,19.224,967.3131,2763.826425,575.6734,457.9008,3302.6368,16.8993,641.3852667,1954.422,448.8917,14512.33611
92,1693.2544,27.3337,118.18475,726.7529429,12.7882,95.26403333,18.8502,914.3832,2595.0993,483.6241,444.0456667,3273.6539,15.147,554.7000667,1772.658,376.6488,13122.38826
93,1460.6368,25.4026,103.50675,704.2701571,12.1217,94.3051,17.4529,889.3246,2407.85025,413.1068,409.7485333,3360.6026,13.1868,470.3776,1685.907,364.7164,12432.51659
94,1284.1248,20.9438,88.56025,658.3108714,12.2292,89.66026667,20.0072,879.3523,2325.897075,366.1209,350.8074333,3843.4153,9.2664,429.2040667,1401.327,355.2483,12134.47516
95,1316.9056,21.7602,71.935625,585.8442571,12.0056,86.00433333,23.7185,843.81,2374.104825,373.1957,298.6803333,4290.1761,5.643,407.8232667,1243.89,312.4473,12267.94464
96,1391.2928,26.1248,52.469375,521.2279857,12.0271,87.7424,24.4839,802.1309,2335.79235,385.5766,271.0836333,4507.1944,4.158,396.1258,1190.187,276.1313,12283.74834
97,1711.536,30.7406,38.61925,439.1471857,12.1131,94.9344,28.7203,854.038,2473.057575,425.5646,256.2064,4594.85,3.4452,411.5029333,1196.613,253.5635,12824.65204
98,2008.4544,39.5012,30.228625,401.8083714,11.2789,101.2873333,30.5537,843.5543,2601.949875,481.9323,249.7331,4586.3672,3.1482,388.8826667,1229.202,239.6856,13247.56777
99,2014.7584,41.6207,25.753625,389.0888286,10.7672,108.6291667,30.4825,872.1927,2855.42115,544.0675,251.2094667,4473.9701,3.2373,369.1674,1516.536,270.6839,13777.58594
100,2072.1248,46.001,25.082375,385.6853571,11.5541,110.8467,28.7648,925.634,3011.71575,574.2123,261.7711667,4095.7786,3.7422,374.6675333,1676.727,335.4042,13939.71188
101,2328.0672,51.3547,30.251,390.8526714,11.2789,104.4338333,25.5519,994.1616,3039.6255,591.0534,292.7748667,3774.846,5.7321,438.9648667,1866.294,386.1169,14331.35944
102,2682.352,62.5331,41.528,409.2115429,10.1738,99.2496,23.6295,1074.9628,2971.373475,604.2033,323.2107333,3236.1882,7.8705,535.2559333,2176.119,465.7527,14723.61418
103,2914.3392,74.9832,50.455625,418.4530857,9.5245,90.8889,20.7637,1040.1876,2968.07505,602.5115,322.3022,2869.3071,8.6427,554.3127333,2209.626,453.3015,14607.67459
104,3215.6704,78.343,43.18375,377.0648857,8.6086,79.112,19.313,1049.1371,3008.924775,520.5361,294.7055,2635.3232,8.2863,636.8922,2310.606,401.0324,14686.73921
105,3440.7232,85.2039,31.0565,346.8062857,8.6344,58.3451,19.669,920.52,2949.2994,511.6926,221.5685667,2374.4771,7.6032,706.3798,2378.538,376.5191,14437.03615
106,3219.4528,74.2924,26.961875,383.1265429,9.3224,49.445,16.287,783.9762,2750.88645,455.4018,159.3340333,2215.4246,7.0092,727.993,2407.914,405.3125,13692.1398
107,2882.1888,60.0996,30.83275,374.3321714,9.0601,55.22856667,13.9463,583.7631,2439.058425,362.968,152.0657667,2149.6829,6.534,715.0948,2328.048,411.149,12574.05228
108,2653.984,50.9308,31.01175,340.6701,8.0152,48.06653333,11.8904,396.335,2150.06565,290.9127,144.0025333,1873.9919,5.7618,687.1293333,1993.437,333.4587,11019.6634
109,2271.3312,40.6787,22.621125,278.1903143,5.1514,30.566,8.7932,365.9067,1584.512625,228.0085,114.8159,1519.1281,4.7223,579.8767333,1599.156,232.0333,8885.492098
110,1810.5088,32.3263,23.67275,302.7102143,5.9555,33.59263333,9.2026,259.2798,1496.216325,236.3906,128.5574667,1364.317,5.049,501.9065333,1304.019,184.174,7697.878523
111,1476.3968,28.6996,29.691625,361.2648286,6.5704,45.0399,10.68,164.1594,1386.3534,309.907,179.6624667,1202.4369,6.1479,421.0313333,1112.157,154.6024,6894.800954
112,1086.8096,17.5683,30.228625,368.0966143,5.7061,47.22746667,9.4874,103.3028,1236.1482,326.6712,197.2653,1111.9537,5.7024,337.0962,886.788,122.5665,5892.618406
113,712.9824,8.8548,27.454125,319.6033571,5.3406,40.0954,8.5262,70.8289,1166.373825,305.2161,178.2996667,1063.1776,4.6035,260.0943333,748.629,99.9987,5020.078507
114,503.6896,6.9237,24.9705,259.4836429,5.504,29.667,8.1346,41.6791,1162.56795,276.6862,140.3684,1049.7465,3.6234,195.7582667,660.96,94.8107,4464.57356
115,360.5888,4.6943,24.187375,204.9784143,5.0912,20.07766667,7.0399,24.8029,1065.13755,261.9214,100.2793667,1038.4361,2.7324,186.1911333,615.06,96.6265,4017.845006
116,228.2048,2.1352,23.76225,161.9505857,4.4118,12.91563333,5.8918,17.1319,942.080925,252.5396,68.36713333,1058.9362,2.0196,165.5075333,500.31,91.4385,3537.603461
117,145.6224,1.099,23.874125,128.7853714,4.214,7.881233333,5.3133,12.5293,883.724175,241.9274,49.4015,1094.2812,1.6632,116.5098667,393.822,78.9873,3189.635371
118,81.3216,0.3925,24.724375,98.47708571,3.9302,5.4839,4.539,12.0179,827.397225,240.3125,40.884,1109.1261,1.6929,84.4774,304.317,66.2767,2905.370386
119,40.3456,0.0157,26.7605,72.46661429,3.7367,4.435066667,4.1563,17.6433,762.69735,242.7733,38.04483333,1169.9195,1.7523,61.97333333,230.418,49.8048,2726.943198
120,18.2816,0,29.2665,51.9961,3.7582,3.0566,4.1474,27.8713,693.430425,240.1587,37.24986667,1210.2128,1.6335,43.88486667,153.765,29.9607,2548.673558
121,8.1952,0,31.63825,38.0841,3.7023,1.798,3.8715,41.4234,633.043875,251.7706,40.2026,1221.5232,1.6929,28.469,81.702,12.8403,2399.957225
122,7.5648,0,33.003125,27.79915714,3.7023,1.498333333,3.8359,64.9478,632.2827,293.4504,54.96626667,1294.3339,2.4057,17.46873333,37.179,5.8365,2480.274615
123,20.8032,0,32.08575,19.45195714,3.655,3.566033333,3.8537,105.3484,648.5211,325.8253,73.02336667,1332.5065,3.0591,9.6446,13.77,5.7068,2600.820807
124,49.8016,0.1099,30.967,16.76892857,3.6679,8.0011,4.3966,167.9949,682.52025,350.9716,89.49053333,1352.2997,3.0591,2.943733333,8.262,7.782,2779.036845
125,93.9296,1.1932,31.034125,25.16581429,4.1022,14.77356667,5.785,250.0746,788.323575,393.0359,106.6391,1447.0243,3.564,0.387333333,16.524,11.4136,3192.969914
126,173.36,3.5796,32.824125,45.48727143,4.9192,25.74136667,7.743,344.1722,955.0209,466.6292,130.9423667,1608.9044,4.9599,2.052866667,46.818,21.5302,3874.684596
